"","id","county","model_turnout","actual_turnout","repub","dem","oth","model_support","county_model_turnout","county_actual_turnout","county_dev","pc_dev","pc_county_ratio","pc_sd","t","cut1","twoway"
"68","Alexandria City108","ALEXANDRIA CITY",2188.89636,1905,"398","1463","44","0.78470828",46182.385804,45296,0.0195687434652066,0.149026960629921,7.61556105505153,0.221052882524742,29.9275041315557,FALSE,0.786136485760344
"69","Alexandria City302","ALEXANDRIA CITY",1257.763629,888,"196","676","16","0.800808853",46182.385804,45296,0.0195687434652066,0.416400483108108,21.2788564502607,0.221052882524742,91.7375797983132,FALSE,0.775229357798165
"70","Alexandria City304","ALEXANDRIA CITY",1919.444,1402,"309","1061","32","0.79145",46182.385804,45296,0.0195687434652066,0.369075606276747,18.8604652584346,0.221052882524742,80.7972511122331,FALSE,0.774452554744526
"71","Alexandria City306","ALEXANDRIA CITY",1702.977,1167,"226","911","30","0.802537",46182.385804,45296,0.0195687434652066,0.45927763496144,23.4699604385964,0.221052882524742,101.649705635851,FALSE,0.801231310466139
"72","Alexandria City208","ALEXANDRIA CITY",1569.17742,1126,"303","788","35","0.745645257",46182.385804,45296,0.0195687434652066,0.393585630550622,20.1129741033409,0.221052882524742,86.4633561211382,FALSE,0.722273143904675
"73","Alexandria City305","ALEXANDRIA CITY",1720.784586,1161,"249","884","28","0.80907251",46182.385804,45296,0.0195687434652066,0.482157266149871,24.6391530967306,0.221052882524742,106.938904513424,FALSE,0.780229479258605
"74","Alexandria City201","ALEXANDRIA CITY",1710.722369,1503,"402","1071","30","0.747190249",46182.385804,45296,0.0195687434652066,0.138205168995343,7.06254692546166,0.221052882524742,27.4257763853547,FALSE,0.727087576374745
"75","Alexandria City202","ALEXANDRIA CITY",1844.428355,1564,"547","1007","10","0.678056435",46182.385804,45296,0.0195687434652066,0.179302017263427,9.16267401543833,0.221052882524742,36.9263405308668,FALSE,0.648005148005148
"76","Alexandria City204","ALEXANDRIA CITY",1664.510737,1500,"477","1003","20","0.703599184",46182.385804,45296,0.0195687434652066,0.109673824666667,5.60454097942813,0.221052882524742,20.8300426885985,FALSE,0.677702702702703
"77","AlleghanyNA","ALLEGHANY",0,168,"82","86","0","#N/A",4651.56381,4319,0.0770001875434127,1,12.986981355548,0.308072984607339,38.9095505106566,FALSE,0.511904761904762
"78","ALLEGHANYNA","ALLEGHANY",0,168,"82","86","0","#N/A",4651.56381,4319,0.0770001875434127,1,12.986981355548,0.308072984607339,38.9095505106566,FALSE,0.511904761904762
"79","Alleghany103","ALLEGHANY",183.1112,149,"83","62","4","0.501723",4651.56381,4319,0.0770001875434127,0.228934228187919,2.97316455312328,0.308072984607339,6.40486070415495,FALSE,0.427586206896552
"80","Alleghany502","ALLEGHANY",502.161804,402,"200","196","6","0.523784333",4651.56381,4319,0.0770001875434127,0.24915871641791,3.23581960469167,0.308072984607339,7.25743481708201,FALSE,0.494949494949495
"81","Alleghany701","ALLEGHANY",497.1656,480,"135","322","23","0.675845",4651.56381,4319,0.0770001875434127,0.0357616666666666,0.464436098243322,0.308072984607339,1.73843189281687,FALSE,0.704595185995624
"82","Alleghany402","ALLEGHANY",429.049093,359,"180","169","10","0.53244636",4651.56381,4319,0.0770001875434127,0.19512282172702,2.53405644781072,0.308072984607339,4.97952278991935,FALSE,0.484240687679083
"83","Alleghany302","ALLEGHANY",471.0556,378,"197","167","14","0.503915",4651.56381,4319,0.0770001875434127,0.246178835978836,3.19711995298765,0.308072984607339,7.13181636419057,FALSE,0.458791208791209
"84","Alleghany301","ALLEGHANY",260.025726,218,"118","100","0","0.511799961",4651.56381,4319,0.0770001875434127,0.192778559633028,2.50361155970353,0.308072984607339,4.88069916815324,FALSE,0.458715596330275
"85","Alleghany201","ALLEGHANY",274.1535,218,"108","107","3","0.540426",4651.56381,4319,0.0770001875434127,0.257584862385321,3.34524980526956,0.308072984607339,7.61264350478101,FALSE,0.497674418604651
"86","Alleghany202","ALLEGHANY",378.3572,302,"155","136","11","0.521236",4651.56381,4319,0.0770001875434127,0.252838410596026,3.28360772437698,0.308072984607339,7.41255429224864,FALSE,0.467353951890034
"87","Alleghany401","ALLEGHANY",331.758432,264,"116","142","6","0.565682485",4651.56381,4319,0.0770001875434127,0.256660727272727,3.3332480797923,0.308072984607339,7.57368609508616,FALSE,0.550387596899225
"88","Alleghany101","ALLEGHANY",463.413263,334,"158","167","9","0.537194511",4651.56381,4319,0.0770001875434127,0.387464859281437,5.03199890341805,0.308072984607339,13.0878042050883,FALSE,0.513846153846154
"89","Alleghany601","ALLEGHANY",662.0433,664,"237","412","15","0.612839",4651.56381,4319,0.0770001875434127,0.00294683734939752,0.0382705217144581,0.308072984607339,3.12175856481325,FALSE,0.63482280431433
"90","Alleghany501","ALLEGHANY",199.269092,215,"67","145","3","0.563205444",4651.56381,4319,0.0770001875434127,0.0731670139534884,0.950218646055073,0.308072984607339,0.161589481818332,FALSE,0.683962264150943
"91","AMELIANA","AMELIA",0,245,"144","95","6","#N/A",4545.454522,4055,0.120950560295931,1,8.26784098852696,0.329906212512566,22.0300216027309,FALSE,0.397489539748954
"92","Amelia301","AMELIA",899.618,769,"551","208","10","0.366801",4545.454522,4055,0.120950560295931,0.169854356306892,1.40432880915399,0.329906212512566,1.22558713300552,FALSE,0.274044795783926
"93","Amelia201","AMELIA",917.113938,755,"446","288","21","0.417105917",4545.454522,4055,0.120950560295931,0.214720447682119,1.77527451842108,0.329906212512566,2.34998459870335,FALSE,0.392370572207084
"94","Amelia501","AMELIA",1034.365798,856,"489","353","14","0.500375265",4545.454522,4055,0.120950560295931,0.208371259345794,1.72278043885014,0.329906212512566,2.1908664081996,FALSE,0.419239904988124
"95","Amelia401","AMELIA",931.59233,798,"560","213","25","0.371413798",4545.454522,4055,0.120950560295931,0.167408934837093,1.38411045329175,0.329906212512566,1.16430197044902,FALSE,0.275549805950841
"96","Amelia101","AMELIA",762.764456,632,"398","217","17","0.427302545",4545.454522,4055,0.120950560295931,0.206905784810127,1.7106641284165,0.329906212512566,2.15413987813108,FALSE,0.352845528455285
"97","AMHERSTNA","AMHERST",0,328,"166","159","3","#N/A",9798.698096,8798,0.113741543077972,1,8.79186243600088,0.245712548459514,31.711292259397,FALSE,0.489230769230769
"98","Amherst202","AMHERST",568.961911,465,"293","172","0","0.419793288",9798.698096,8798,0.113741543077972,0.223574002150538,1.96563187117369,0.245712548459514,3.9299249355708,FALSE,0.36989247311828
"99","Amherst201","AMHERST",1482.112442,1254,"723","504","27","0.478736249",9798.698096,8798,0.113741543077972,0.181907848484849,1.59930877990768,0.245712548459514,2.43906460481984,FALSE,0.410757946210269
"100","Amherst401","AMHERST",1567.59422,1372,"844","502","26","0.462971069",9798.698096,8798,0.113741543077972,0.14256138483965,1.25338008419598,0.245712548459514,1.03120530792807,FALSE,0.37295690936107
"101","Amherst501","AMHERST",1553.532,1340,"777","528","35","0.526186",9798.698096,8798,0.113741543077972,0.15935223880597,1.40100296245085,0.245712548459514,1.63200033927825,TRUE,0.404597701149425
"102","Amherst301","AMHERST",594.858815,527,"339","177","11","0.413894466",9798.698096,8798,0.113741543077972,0.12876435483871,1.13207849440234,0.245712548459514,0.537532556763591,FALSE,0.343023255813953
"103","Amherst102","AMHERST",805.756923,706,"415","269","22","0.480820951",9798.698096,8798,0.113741543077972,0.141298757790368,1.24227924087073,0.245712548459514,0.986027137766007,FALSE,0.39327485380117
"104","Amherst101","AMHERST",700.203622,549,"219","325","5","0.659188929",9798.698096,8798,0.113741543077972,0.275416433515483,2.4214233960821,0.245712548459514,5.78490355903136,FALSE,0.597426470588235
"105","Amherst103","AMHERST",389.211502,331,"246","79","6","0.415744309",9798.698096,8798,0.113741543077972,0.175865564954683,1.54618585431115,0.245712548459514,2.22286512323217,FALSE,0.243076923076923
"106","Amherst303","AMHERST",340.891409,304,"200","94","10","0.383801855",9798.698096,8798,0.113741543077972,0.121353319078947,1.06692168749423,0.245712548459514,0.272357630547522,FALSE,0.319727891156463
"107","Amherst402","AMHERST",354.983867,290,"186","92","12","0.471487938",9798.698096,8798,0.113741543077972,0.2240823,1.97010075594268,0.245712548459514,3.94811238589438,FALSE,0.330935251798561
"108","Amherst302","AMHERST",1440.591385,1332,"959","347","26","0.352410395",9798.698096,8798,0.113741543077972,0.0815250638138138,0.716757146137244,0.245712548459514,1.15274069492396,FALSE,0.265696784073507
