id,county,model_turnout,actual_turnout,repub,dem,oth,county_model_turnout,county_actual_turnout,county_dev,pc_dev,pc_county_ratio,pc_sd,t,modeled_support
Alexandria City208,Alexandria City,1569.17742,1126,303,788,35,46182.3858,37350,0.236476193,0.393585631,1.664377398,0.10605576,6.264415997,0.745645257
Alexandria City305,Alexandria City,1720.784586,1161,249,884,28,46182.3858,37350,0.236476193,0.482157266,2.038925189,0.10605576,9.796027968,0.80907251
Alexandria City201,Alexandria City,1710.722369,1503,402,1071,30,46182.3858,37350,0.236476193,0.138205169,0.584435868,0.10605576,3.918355149,0.747190249
Alexandria City202,Alexandria City,1844.428355,1564,547,1007,10,46182.3858,37350,0.236476193,0.179302017,0.758224391,0.10605576,2.27970277,0.678056435
Alexandria City204,Alexandria City,1664.510737,1500,477,1003,20,46182.3858,37350,0.236476193,0.109673825,0.463783789,0.10605576,5.055983877,0.703599184
Alleghany103,Alleghany,183.1112,149,83,62,4,4651.56381,3983,0.167854333,0.228934228,1.363886315,0.10945162,3.324631596,0.501723
Alleghany502,Alleghany,502.161804,402,200,196,6,4651.56381,3983,0.167854333,0.249158716,1.484374644,0.10945162,4.425468014,0.523784333
Alleghany701,Alleghany,497.1656,480,135,322,23,4651.56381,3983,0.167854333,0.035761667,0.213051793,0.10945162,7.189918304,0.675845
Alleghany402,Alleghany,429.049093,359,180,169,10,4651.56381,3983,0.167854333,0.195122822,1.162453288,0.10945162,1.484247446,0.53244636
Alleghany302,Alleghany,471.0556,378,197,167,14,4651.56381,3983,0.167854333,0.246178836,1.466621868,0.10945162,4.26327054,0.503915
Alleghany301,Alleghany,260.025726,218,118,100,0,4651.56381,3983,0.167854333,0.19277856,1.148487237,0.10945162,1.356647229,0.511799961
Alleghany201,Alleghany,274.1535,218,108,107,3,4651.56381,3983,0.167854333,0.257584862,1.534573801,0.10945162,4.88411044,0.540426
Alleghany202,Alleghany,378.3572,302,155,136,11,4651.56381,3983,0.167854333,0.252838411,1.506296593,0.10945162,4.625756956,0.521236
Alleghany401,Alleghany,331.758432,264,116,142,6,4651.56381,3983,0.167854333,0.256660727,1.529068223,0.10945162,4.833808965,0.565682485
Alleghany101,Alleghany,463.413263,334,158,167,9,4651.56381,3983,0.167854333,0.387464859,2.308339924,0.10945162,11.95359121,0.537194511
Alleghany601,Alleghany,662.0433,664,237,412,15,4651.56381,3983,0.167854333,0.002946837,0.017555921,0.10945162,8.976057897,0.612839
Alleghany501,Alleghany,199.269092,215,67,145,3,4651.56381,3983,0.167854333,0.073167014,0.435895889,0.10945162,5.153912841,0.563205444
